player_id,Name,Season,WAR,G,PA,HR,R,RBI,SB,AVG,OBP,SLG,OPS,avg_exit_velocity,avg_launch_angle,barrel_pct,hard_hit_pct,avg_WAR_career
15640,Aaron Judge,2024,11.3,158,704,58,122,144,10,0.322,0.458,0.701,1.159,87.59680729760547,22.25085518814139,,0.0960122699386503,11.3
25764,Bobby Witt Jr.,2024,10.4,161,709,32,125,109,31,0.332,0.389,0.588,0.977,85.50600193610843,22.76038647342995,,0.1097954790096878,10.4
19755,Shohei Ohtani,2024,8.9,159,731,54,134,130,59,0.31,0.39,0.646,1.036,86.46082474226804,18.483007209062823,,0.1070213424064336,8.9
20123,Juan Soto,2024,8.2,157,713,41,128,109,7,0.288,0.419,0.569,0.989,87.39006410256411,14.070362473347547,,0.0991493106482839,8.2
26289,Gunnar Henderson,2024,7.9,159,719,37,118,92,21,0.281,0.364,0.529,0.893,84.9727965179543,13.954446854663775,,0.0982083609820836,7.9
12916,Francisco Lindor,2024,7.8,152,689,33,107,91,29,0.273,0.344,0.5,0.844,85.69801264679313,19.18970189701897,,0.10767760433259,7.8
24617,Jarren Duran,2024,6.9,160,735,21,111,75,34,0.285,0.342,0.492,0.834,83.033,16.154690618762476,,0.0853658536585365,6.9
13510,Jose Ramirez,2024,6.5,158,682,39,114,118,41,0.279,0.335,0.537,0.872,84.70887166236004,21.809114359415304,,0.119047619047619,6.5
26668,Elly De La Cruz,2024,6.5,160,696,25,105,76,67,0.259,0.339,0.471,0.809,84.11685082872928,13.81542699724518,,0.0710286913925822,6.5
13613,Ketel Marte,2024,6.3,136,583,36,93,95,7,0.292,0.372,0.56,0.932,86.47246022031824,14.334554334554335,,0.1221640488656195,6.3
20503,William Contreras,2024,5.5,155,679,23,99,92,9,0.281,0.365,0.466,0.831,85.86993006993006,11.38882421420256,,0.0927405349079541,5.5
16505,Matt Chapman,2024,5.5,154,647,27,98,78,15,0.247,0.328,0.463,0.79,84.5965034965035,22.09617612977984,,0.087081684059014,5.5
21534,Cal Raleigh,2024,5.5,153,628,34,73,100,6,0.22,0.312,0.436,0.748,84.67062350119905,22.41007194244604,,0.0946517891496729,5.5
19611,Vladimir Guerrero Jr.,2024,5.3,159,697,30,98,103,2,0.323,0.396,0.544,0.94,86.08036809815951,13.44795918367347,,0.1163130943672275,5.3
29490,Jackson Merrill,2024,5.3,156,593,24,77,90,16,0.292,0.326,0.5,0.826,83.08792756539235,19.36317907444668,,0.1064097193129451,5.3
19556,Yordan Alvarez,2024,5.2,147,635,35,88,86,6,0.308,0.392,0.567,0.959,85.42450867052023,22.102890173410405,,0.1140605557859809,5.2
19627,Brent Rooker,2024,5.1,145,614,39,82,112,11,0.293,0.365,0.562,0.927,84.01255006675568,20.539385847797064,,0.0863309352517985,5.1
